initial state: #..#.#..##......###...###

##### => .
####. => .
###.# => .
###.. => .
##.## => .
##.#. => .
##..# => .
##... => .
#.### => .
#.##. => .
#.#.# => .
#.#.. => .
#..## => .
#..#. => .
#...# => .
#.... => .
.#### => .
.###. => .
.##.# => .
.##.. => .
.#.## => .
.#.#. => .
.#..# => .
.#... => .
..### => .
..##. => .
..#.# => .
..#.. => .
...## => .
...#. => .
....# => .
..... => .
...## => #
..#.. => #
.#... => #
.#.#. => #
.#.## => #
.##.. => #
.#### => #
#.#.# => #
#.### => #
##.#. => #
##.## => #
###.. => #
###.# => #
####. => #
